"","a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","b1","b10","b11","b12","b13","b14","b15","b16","b17","b2","b4","b6","b7","b8","b9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
"ME105925",215000,310000,798000,1070000,228000,241000,1180000,15100,255000,411000,463000,242000,1010000,702000,44600,941000,757000,612000,858000,185000,671000,1140000,108000,383000,593000,7240000,494000,812000,1290000,66000,136000,1060000,1050000,464000,1460000,636000,4510000,146000,4e+05,783000,213000,816000,587000,319000,102000
"ME105926",336000,617000,2480000,1180000,623000,357000,422000,104000,160000,1130000,468000,257000,11400000,768000,124000,785000,798000,12100000,2760000,697000,874000,1690000,148000,1060000,1130000,3340000,223000,993000,7320000,428000,281000,1450000,1260000,747000,625000,1180000,911000,365000,183000,489000,756000,592000,540000,3e+05,469000
"ME105922",1220000,6920000,18700000,1320000,1230000,1980000,6980000,716000,761000,2910000,11300000,689000,1350000,1130000,479000,8300000,6790000,20800000,320000,1290000,1580000,2340000,1180000,1260000,1.5e+07,495000,58100,1350000,1860000,698000,652000,2200000,7380000,187000,1430000,9730000,11200000,6660000,1830000,15100000,971000,574000,4590000,9730000,644000
"ME105923",710000,425000,1720000,1040000,391000,189000,559000,272000,186000,1.7e+07,2710000,232000,622000,712000,218000,1050000,606000,2980000,604000,742000,343000,751000,650000,494000,4540000,1040000,201000,414000,7820000,319000,356000,760000,833000,915000,697000,656000,740000,478000,337000,4150000,718000,485000,181000,2030000,216000
"ME105924",644,1060,1500,NA,818,660,754,695,562,851,766,637,846,NA,618,1500,890,16200000,1250,968,657,809,767,826,2810,1140,1010,635,1280,664,546,926,8e+05,NA,NA,809,1380,982,625,1790,626,991,1600,949,756
"ME105927",17700,394000,4230000,3740000,361000,63300,2090000,37400,13400,260000,347000,151000,1080000,5080,2140,276000,35700,631000,369000,242000,472000,5320000,18000,243000,131000,158000,208000,228000,119000,58000,266000,627000,3140000,127000,197000,286000,545000,35800,23200,230000,59600,48100,44000,576000,14200
"ME105928",51600,54900,26700000,323000,152000,208000,1400000,76100,16500,374000,491000,81200,1e+06,7e+06,22400,706000,121000,11600000,164000,424000,749000,267000,3050000,99100,136000,452000,75600,132000,341000,119000,1500000,171000,331000,198000,110000,178000,791000,44100,57100,150000,29500,126000,646000,291000,58900
"ME105920",4350,1450,NA,56200,3700,8360,2590,1390,1090,30400,2340,2930,7060,2830,NA,6340,34100,31900,9440,92600,6740,14400,8180,8980,4610,10100,8180,5920,1950,1810,NA,4460,NA,3190,22900,49200000,NA,6930,1730,2400,3450,2880,2450,11200,3570
"ME105929",231000,209000,2020000,4490000,716000,627000,1110000,93600,167000,448000,943000,234000,459000,1220000,79700,1990000,449000,1490000,1970000,1040000,822000,3950000,128000,1050000,551000,5550000,676000,644000,757000,97400,652000,1010000,1450000,1080000,701000,484000,17600000,111000,294000,1640000,1370000,853000,719000,829000,99200
"ME105930",NA,1220,4940,5490,NA,NA,NA,1030,NA,NA,1400,1070,989,5610,NA,1630,NA,NA,NA,907,1070,2190,NA,NA,NA,NA,NA,1290,1060,NA,NA,NA,NA,NA,1100,1930,4210,NA,NA,2670,NA,NA,2660,NA,NA
"ME105921",NA,715,1320,1670,3240,683,1180,1240,80800,NA,NA,881,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8170000,NA,7540,840,NA,NA,NA,981,NA,NA,2200,3970,NA,NA,NA,1710000,NA,1070,NA,NA,NA,NA
"ME105931",15300000,19800000,23400000,41800000,2e+07,3580000,6280000,254000,4550000,29200000,23300000,1510000,19300000,30800000,18900000,33900000,1.6e+07,51200000,21900000,10700000,18800000,20400000,106000,2620000,41100000,23100000,5890000,12600000,26100000,15900000,7810000,18500000,32400000,23500000,7650000,19500000,41100000,128000,3610000,13100000,16900000,36700000,2910000,18300000,17100000
"ME105932",1100000,619000,1.67e+08,598000,952000,237000,28400000,21100,7920,3390000,569000,13200000,1740000,1040000,284000,352000,613000,4480000,1970000,247000,438000,245000,36300,151000,12500000,3180000,1300000,146000,1360000,345000,21900000,102000,1080000,1140000,239000,3670000,1050000,131000,35000,796000,1190000,561000,26600,814000,504000
"ME105900",9670000,7170000,296000,11900,3180000,9380000,2320000,10100,9330000,6600,4580000,22300000,21900000,5310000,5840000,2760000,4340000,98800,117000,10500000,14700000,194000,6320,14300000,722000,679000,13600000,11400000,2200000,10400000,17700000,5820000,3660000,298000,10400000,14800000,87800,11500,11400000,22700,5720000,2040000,1.1e+07,15300000,7460000
"ME105933",8440,71700,71400,173000,2910,7280,162000,23300,828,17800,1250000,44600,8910,52100,14200,8870,149000,23900,28000,8690,8140,6670000,216000,4120,2080,725000,51300,2250,109000,2320,27200,6690,247000,7050,1920,639000,109000,32500,9540,15200,6430,33500,5510,11400,80800
"ME105934",1950000,840000,4780000,3170000,1430000,1480000,3090000,58600,603000,7170000,260000,94900,1130000,1200000,11300000,1870000,1520000,2470000,3090000,1380000,4060000,991000,1340000,801000,2490000,1380000,289000,442000,3210000,210000,1540000,2090000,1530000,1610000,1980000,25500000,3660000,1810000,238000,4660000,254000,3860000,517000,1680000,14600000
"ME105935",66100,63800,1100000,137000,264000,23600,69300,139000,33100,150000,788000,130000,599000,1150000,254000,562000,179000,1530000,348000,54300,54300,176000,245000,40000,5560000,6890000,71900,120000,298000,92800,175000,285000,547000,505000,123000,57500,1410000,666000,205000,109000,72100,539000,384000,477000,267000
"ME105936",323000,252000,268000,462000,362000,67300,515000,66200,59100,1190000,11100000,173000,287000,713000,836000,2360000,6560000,1170000,462000,562000,144000,1320000,365000,605000,495000,1150000,161000,603000,18900000,115000,335000,537000,609000,385000,356000,195000,6100000,37600000,126000,547000,1140000,334000,78700,609000,6040000
"ME105937",524000,252000,2300000,5020000,335000,221000,639000,282000,498000,6530000,270000,394000,382000,544000,119000,80200,672000,1080000,174000,1550000,12500,343000,134000,167000,1150000,927000,164000,4020,406000,319000,620000,3940000,749000,1440000,276000,516000,996000,375000,735000,1010000,774000,419000,95900,705000,434000
"ME105938",323000,252000,617000,462000,362000,67300,515000,62500,58600,1190000,3610000,173000,286000,713000,835000,6080000,1820000,1170000,462000,562000,144000,1320000,361000,602000,495000,1150000,161000,603000,1.3e+07,115000,381000,537000,12600000,9900000,356000,1970000,2140000,29700000,1240000,1340000,1130000,1720000,862000,609000,1780000
"ME105939",438000,404000,30400,529000,11800000,21600,549000,258000,18700,736000,471000,304000,388000,50800,322000,531000,647000,322000,284000,18000,579000,7140000,232000,440000,86800,175000,221000,151000,2210000,371000,123000,820000,102000,62600,286000,240000,49500,64000,13800,116000,379000,74000,12200,8300000,796000
"ME105901",430000,2030000,12100000,6530000,2520000,827000,1990000,1170000,526000,15400000,2710000,1760000,2320000,2610000,804000,3410000,3e+06,10400000,16400000,2520000,2090000,3190000,1240000,754000,3720000,16900000,2900000,1660000,3270000,844000,1260000,2260000,11500000,16600000,2820000,1910000,3670000,856000,1100000,19500000,1810000,4120000,1380000,2500000,1270000
"ME105944",175000,203000,308000,542000,6180000,533000,52500,7690000,3220000,127000,217000,2.4e+07,394000,5790000,114000,1900000,807000,172000,1110000,654000,74000,761000,19700000,167000,290000,33300000,564000,198000,50400,193000,91800,5040000,151000,67800,121000,471000,943000,243000,7020000,118000,NA,1070000,724000,9090000,90500
"ME105940",1010000,727000,585000,878000,1210000,6520,999000,218000,3120000,565000,406000,276000,1830000,5040000,473000,13900000,29500000,24400000,2250000,875000,5e+05,688000,950000,251000,150000,6930000,1390000,363000,405000,2440000,1610000,9370,745000,16900000,612000,9120,949000,869000,3540000,1750000,116000,2500000,166000,403000,1.9e+07
"ME105945",1780000,4480000,7880000,14400000,4430000,3180000,7860000,2400000,1630000,7900000,5730000,3720000,5500000,7490000,1990000,6560000,6860000,8260000,10700000,4340000,7240000,8630000,2530000,2270000,5240000,10800000,5750000,4250000,6340000,2520000,2500000,5730000,7220000,9200000,4530000,5560000,11700000,2210000,2120000,7060000,4090000,7890000,3600000,7340000,2880000
"ME105946",715000,1390000,46400000,25200000,1810000,575000,3950000,1610000,545000,4940000,1770000,1660000,1960000,7200000,936000,8250000,1850000,28500000,3.5e+07,1230000,1210000,2200000,947000,7090000,11800000,10300000,1630000,1590000,8690000,6550000,2610000,1760000,2e+07,26200000,1880000,15500000,15300000,2680000,742000,11100000,9230000,2310000,1240000,2010000,9950000
"ME105947",715000,822000,13200000,4770000,1810000,746000,3710000,403000,523000,4330000,2900000,1460000,1500000,2950000,936000,3740000,1850000,4060000,4350000,1530000,1210000,1780000,717000,1200000,4720000,2710000,1530000,1190000,2910000,4340000,2460000,1420000,5530000,1.2e+07,1860000,3540000,4080000,1430000,701000,3740000,2200000,2310000,1120000,6310000,1920000
"ME105941",540000,345000,11200000,6620000,956000,419000,1450000,62300,279000,782000,11100000,1040000,733000,6900000,143000,13600000,3620000,1870000,22400000,911000,1300000,15200000,158000,179000,1080000,7410000,834000,391000,850000,380000,1030000,827000,15700000,1740000,1080000,842000,29700000,54900,276000,12900000,2170000,1840000,972000,8580000,239000
"ME105948",10400000,2.08e+08,1.63e+08,27500000,16800000,7800000,17500000,852000,10700000,4090000,14500000,1790000,13100000,1.28e+08,648000,3800000,3.3e+07,48500000,21300000,22100000,20900000,30600000,982000,7190000,36100000,25100000,18400000,14500000,2740000,534000,21700000,30500000,1.8e+07,19900000,22100000,36700000,4040000,11200000,779000,2220000,14600000,2990000,1330000,2650000,1310000
"ME105949",3300000,5930000,9100000,5960000,4910000,2820000,6200000,1880000,3190000,27700000,3570000,10900000,4790000,4060000,1620000,23200000,7970000,12600000,4300000,7620000,4720000,10600000,2690000,2580000,8120000,6400000,5810000,3770000,17200000,1640000,3920000,6590000,4070000,3150000,6240000,5070000,26300000,2990000,8930000,18900000,2710000,20200000,2300000,19500000,2580000
"ME105950",1.28e+08,1.13e+08,1.17e+08,1.65e+08,1.33e+08,1.31e+08,1.06e+08,1.13e+08,1.36e+08,1.69e+08,1.21e+08,1.54e+08,1.43e+08,1.43e+08,1.16e+08,1.34e+08,1.67e+08,1.49e+08,1.27e+08,1.24e+08,1.49e+08,1.33e+08,1.5e+08,1.35e+08,1.3e+08,1.59e+08,1.29e+08,1.28e+08,94300000,1.2e+08,1.13e+08,1.35e+08,1.24e+08,1.44e+08,1.57e+08,1.54e+08,1.23e+08,1.6e+08,1.6e+08,1.39e+08,93400000,1.77e+08,1.42e+08,88400000,1.32e+08
"ME105951",313000,352000,1700000,98500,608000,59500,308000,7910,23600,201000,177000,224000,153000,7050000,22500,27600,735000,3200000,776000,3240000,33000,3570000,308000,1030000,422000,3300000,5730,14900,1530000,17200,1690000,243000,8770000,11100000,2630000,421000,2810000,209000,529000,4600000,3360000,4490000,NA,3310000,248000
"ME105952",2180000,425000,4820000,10900000,168000,518000,1350000,636000,2620000,5570000,1050000,412000,1150000,4670000,643000,719000,2040000,1950000,1230000,655000,683000,634000,573000,281000,3260000,7390000,347000,231000,858000,216000,1770000,1380000,1330000,6210000,145000,3360000,340000,884000,2710000,3300000,239000,3550000,438000,5060000,181000
"ME105953",541000,145000,866000,509000,755000,179000,315000,744000,514000,9520000,1.1e+07,77900,643000,910000,498000,1250000,694000,793000,488000,324000,1.06e+08,1290000,1540000,1780000,707000,814000,6140000,386000,9210000,258000,484000,1110000,366000,1160000,553000,3830000,1.1e+07,1360000,1020000,41700000,611000,6920000,291000,1430000,288000
"ME105954",541000,95200,866000,638000,755000,179000,315000,744000,514000,4700000,2860000,33500,643000,910000,498000,826000,694000,793000,23900,324000,93600000,1290000,1540000,1760000,707000,1.5e+07,3220000,386000,3780000,258000,484000,1110000,366000,1160000,553000,2280000,2600000,1360000,1020000,10600000,611000,1600000,291000,1430000,288000
"ME105955",3220000,610000,1540000,64500000,537000,1630000,741000,482000,213000,33800000,2170000,2660000,869000,566000,5810000,1280000,1410000,1480000,10200000,257000,3100000,2190000,831000,873000,3560000,3690000,7430000,754000,1030000,3910000,1120000,5180000,1150000,31100000,414000,18600000,3040000,191000,341000,12500000,836000,3130000,884000,1140000,7760000
"ME105956",3220000,610000,1540000,1.11e+08,537000,1630000,741000,482000,213000,81400000,2170000,10900000,869000,566000,1.4e+07,1280000,1410000,1480000,27600000,257000,1.2e+07,2190000,831000,873000,21400000,3690000,17400000,754000,1030000,10600000,1120000,17700000,1150000,54600000,414000,3390000,27300000,191000,341000,38500000,836000,24200000,884000,1140000,19400000
"ME105942",22900,86200,38600,693000,199000,264000,658000,163000,60700,277000,569000,122000,74300,117000,240000,220000,771000,36600,225000,71400,1010000,139000,31800,12700,246000,130000,445000,49400,610000,419000,68300,79400,830000,601000,181000,867000,230000,320000,88200,8500000,152000,164000,85500,241000,297000
"ME105957",1560000,3850000,7520000,14600000,6280000,1650000,17100000,3300000,1370000,17800000,16400000,3550000,3750000,5600000,1990000,9670000,17500000,3720000,8320000,4500000,5060000,6880000,1640000,3350000,21900000,9990000,4390000,1730000,5510000,10400000,2060000,21200000,10900000,10300000,15600000,15900000,7600000,2170000,1.3e+07,12600000,4870000,5660000,3850000,5680000,3800000
"ME105958",1160000,426000,1220000,2320000,2150000,637000,821000,365000,139000,864000,774000,376000,858000,1530000,364000,3490000,603000,2.9e+07,2210000,824000,843000,2110000,394000,602000,1400000,1710000,741000,527000,1130000,324000,850000,866000,3660000,3690000,616000,1220000,1580000,401000,344000,4950000,1260000,1090000,357000,1130000,545000
"ME105943",4930000,6990000,11900000,15500000,6130000,5570000,10900000,855000,1760000,13100000,15700000,6230000,9370000,5600000,731000,12600000,8070000,18400000,10800000,9450000,8850000,11200000,1180000,4590000,8900000,10400000,9800000,5130000,10400000,1170000,5580000,9360000,9810000,11700000,7900000,5790000,11400000,1190000,1390000,7890000,7790000,8490000,5180000,7240000,1410000
"ME105959",111000,36900,193000,688000,326000,160000,270000,29800,26200,154000,628000,293000,251000,322000,13200,1150000,202000,8870000,681000,138000,306000,256000,57100,136000,379000,726000,382000,109000,192000,37800,123000,143000,412000,4e+05,379000,379000,818000,19400,62800,357000,221000,546000,60200,211000,5360
"ME105960",81200,69500,414000,237000,85800,58900,32600,68700,27800,423000,397000,22400,239000,195000,90700,243000,545000,692000,431000,80900,128000,189000,123000,115000,62000,570000,44400,86400,1100000,29600,249000,128000,1630000,1400000,62200,612000,622000,3920000,324000,444000,658000,454000,297000,449000,215000
"ME105961",520000,2280000,2460000,2900000,369000,520000,695000,3100000,1150000,5520000,4840000,538000,811000,4240000,1310000,1700000,1090000,1460000,2050000,2540000,796000,4170000,2610000,1200000,1800000,41200000,1550000,1300000,802000,1080000,5790000,1500000,7.4e+07,37700000,1420000,44900000,49400000,37100000,5110000,6.5e+07,1140000,27800000,41100000,31600000,1960000
"ME105962",21300,20300,30800,51000,21700,5170,19200,10700,4160,10300,111000,37600000,62600,29500,114000,9860,76900,54400,20700,1040000,12600,4010000,1720000,405000,69600,42300,38500,55900,17900,4140,29600,266000,11100,235000,8250,25000,46300,121000,4760,148000,52500,44000,6160,109000,42600
"ME105963",348000,975000,1320000,4830000,934000,990000,2620000,211000,358000,5020000,2390000,8e+05,1440000,919000,1210000,3150000,2610000,4310000,3490000,1990000,3670000,4120000,519000,914000,3810000,1940000,876000,917000,3400000,591000,2430000,2170000,1270000,5640000,930000,3460000,2240000,3130000,922000,1400000,598000,954000,431000,972000,1050000
"ME105964",3640000,6390000,7650000,6420000,6470000,6320000,6540000,6070000,6040000,6420000,6630000,6510000,6160000,6240000,6450000,6180000,6400000,7810000,6710000,6e+06,6570000,6320000,6560000,5960000,6500000,6110000,6480000,6700000,6170000,5830000,5930000,6690000,6100000,6450000,8230000,6630000,6510000,6320000,6560000,6480000,6250000,6400000,5890000,5920000,6270000
"ME105965",15500000,66400,279000,9220,28500,782,22400,1120,1000,5180,44500,970,52400,2060,993,66200,1220,174000,4680,7390,4980,9780,1000,1640,10500,42800,886,31300,94500,4120,14700,2450,13700,1540,99600,9460,69300,1560,1530,11300,888,1270,65600,6310,4880
"ME105966",2740000,1220000,16300000,9070000,5180000,1780000,4100000,3e+06,2640000,6130000,5210000,2440000,3.1e+07,7310000,712000,6450000,3630000,11700000,16400000,6510000,7580000,15200000,1120000,17800000,3040000,5100000,2200000,8550000,23700000,2410000,2430000,1.3e+07,6840000,4550000,7010000,6550000,5120000,11700000,944000,2970000,4910000,4340000,1060000,2310000,1460000
"ME105967",1510000,2870000,1620000,1680000,2830000,569000,653000,496000,122000,488000,302000,520000,821000,1220000,497000,1210000,625000,440000,671000,5820000,153000,439000,9750000,814000,430000,2610000,240000,320000,1040000,709000,208000,30500000,460000,642000,1910000,98300,626000,597000,46500,1230000,181000,2050000,493000,4380000,752000
"ME105968",8e+05,14100000,10400000,22700000,17500000,2610000,16400000,2390000,2140000,6290000,7890000,2370000,2690000,6610000,2110000,7070000,17600000,7720000,10400000,15600000,6230000,8600000,2060000,2140000,16800000,5840000,3140000,1730000,8060000,2060000,1400000,2510000,7080000,9260000,6110000,6410000,17100000,2300000,2680000,18700000,2470000,19800000,2630000,22200000,5800000
"ME105969",2010,2670,3220,9020,NA,NA,7040,1250,1620,7420,6030,8730,971,1500000,NA,23700,129000,33600,20600,3540,1100,9030,2350,807,3860,13700000,2350,2260,8640,11700,3260,7440000,53500,117000,10200,2210,54600,169000,5370,8990,8720,96500,2650,937000,7670
"ME105970",2.9e+07,20700000,54400000,99100000,26600000,13200000,26300000,8830000,10900000,55100000,52800000,2.7e+07,39300000,64600000,5280000,74900000,9.4e+07,90900000,99100000,29900000,31800000,34900000,10500000,32900000,53300000,1.15e+08,2.7e+07,2.1e+07,61400000,11200000,26300000,6.4e+07,61700000,74900000,36900000,52900000,73400000,21600000,19600000,34700000,37800000,44600000,17800000,27100000,10100000
"ME105971",1190,995,16100,2380,633,737,1090,694,637,3180,2540,2390,3730,2250,692,2450,1460,4140,3860,1750,2480,6340,1100,3280,9150,10700,1330,2070,18600000,391,1410,2660,2260,2070,1340,2480,2080,1380,1140,1890,290000,2440,999,3410,957
"ME105972",7400000,2720000,7080000,11100000,1640000,1650000,1700000,1700000,12300000,27700000,2.8e+07,864000,7200000,19300000,15400000,6620000,86800000,19800000,6160000,2470000,83300,1820000,31200000,662000,15700000,2e+07,34100000,2120000,45200000,3230000,18100000,422000,1.6e+07,25100000,1480000,9080000,32800000,8200000,751000,38300000,1.9e+07,29300000,2570000,2130000,3470000
"ME105973",11600000,2720000,8390000,8460000,1640000,1650000,1700000,1700000,8690000,27700000,25600000,864000,19300000,16200000,12500000,10900000,84100000,19900000,6160000,2470000,83300,1820000,28800000,662000,6870000,15900000,32900000,2120000,16800000,3230000,8660000,422000,26100000,13700000,1480000,9090000,29900000,4750000,751000,22700000,11300000,29300000,2570000,2130000,3470000
"ME105974",1320000,987000,122000,1990000,458000,336000,339000,328000,2620000,10700000,8590000,81500,5500000,6430000,5400000,511000,37800000,1210000,1750000,554000,1010000,344000,14100000,104000,2440000,4980000,1.3e+07,151000,5010000,1050000,3250000,143000,792000,4310000,381000,19400000,9740000,1920000,266000,8970000,4050000,10100000,762000,121000,951000
"ME105975",463000,146000,3240000,1740000,6210000,140000,1390000,7320000,1860000,619000,360000,880000,359000,3630000,1250000,2240000,173000,473000,5470000,403000,1060000,2830000,90100,293000,275000,3080000,1680000,826000,6180000,432000,5590000,30400,1510000,2340000,2250000,720000,638000,480000,1510000,1990000,1830000,1.05e+08,1260000,2380000,26500
"ME105902",15400000,27500000,2.06e+08,1.27e+08,43100000,34200000,50300000,44100000,3.2e+07,9.43e+08,2.1e+07,46800000,1.5e+08,1.7e+08,1.42e+08,3.7e+07,54200000,1.08e+08,1.1e+08,44500000,3.7e+07,30900000,31900000,6.2e+07,56200000,2.23e+08,68300000,1.1e+08,13500000,1.66e+08,24500000,72500000,1.18e+08,1.14e+08,60700000,55100000,1.32e+08,59600000,44600000,1.07e+08,10400000,1.01e+08,25700000,81200000,3.64e+08
"ME105976",14000,8850,11700000,350000,3490000,984,23000,55300,151000,5620000,612000,1390,967000,1e+07,1980000,3480000,4750,90200,4410000,3430,925000,33100,117000,NA,287000,24700000,103000,758000,2070000,460000,4740,19700,1320000,85100,685000,1670,98500,27700,85900,1720000,369000,478000,1500,1560000,4250000
"ME105977",621000,936000,713000,479000,1250000,434000,334000,40800,551000,575000,1030000,1100000,605000,890000,521000,944000,1010000,1230000,355000,18700000,865000,511000,104000,775000,860000,512000,8e+05,532000,1170000,480000,714000,1230000,1330000,1230000,12900000,9380000,836000,152000,421000,891000,935000,1710000,512000,365000,1240000
"ME105978",58300,32800,317000,779000,205000,54300,118000,176000,79900,287000,205000,36500,185000,205000,459000,207000,588000,2.1e+07,409000,279000,117000,809000,246000,226000,588000,570000,234000,188000,554000,175000,525000,112000,1570000,636000,283000,115000,290000,648000,268000,301000,61600,343000,52500,176000,429000
"ME105979",4e+06,20200000,44600000,92200000,27600000,10800000,24600000,9020000,4740000,39100000,28600000,1.1e+07,21600000,24500000,5170000,33300000,35100000,55100000,76900000,29200000,26900000,38400000,15500000,9540000,28300000,43300000,24600000,15200000,26300000,10300000,11400000,21200000,3.6e+07,58400000,33900000,20700000,50200000,19100000,9360000,32500000,15500000,31700000,16700000,7180000,10100000
"ME105980",495000,513000,1450000,1770000,1740000,179000,620000,229000,198000,649000,395000,319000,3550000,1060000,75600,685000,713000,1200000,3310000,1180000,749000,2240000,1110000,856000,2140000,1300000,443000,526000,1590000,673000,325000,1120000,994000,811000,5220000,688000,1430000,517000,45300,1200000,645000,1980000,445000,16700000,179000
"ME105993",515000,227000,1060000,581000,1470000,197000,368000,351000,52800,1310000,1050000,25800,5250000,71900,47300,1540000,152000,7280000,116000,1030000,623000,5090000,160000,856000,357000,7880,37200,1410000,9610000,856000,341000,1120000,3260000,335000,2190000,1300000,501000,556000,39000,644000,172000,29900,283000,461000,394000
"ME105983",6880000,8840000,23300000,2.7e+07,10500000,3920000,12800000,2750000,2620000,1.9e+07,13400000,6580000,8870000,10400000,1640000,16600000,16500000,21600000,23700000,11600000,12300000,17700000,4990000,2980000,14900000,12500000,12400000,7320000,1.2e+07,1740000,6870000,13600000,15100000,25400000,1.4e+07,14200000,22500000,5750000,4160000,16300000,7610000,17600000,4960000,10400000,3e+06
"ME105984",3130000,388000,1160000,653000,623000,259000,553000,318000,265000,1220000,407000,565000,1060000,369000,80800,1500000,485000,1580000,520000,293000,409000,546000,583000,299000,359000,426000,296000,554000,458000,209000,639000,402000,625000,478000,436000,401000,586000,9e+05,437000,239000,319000,450000,217000,554000,172000
"ME105985",8070000,62900,15100000,838000,52900,30900,167000,7570,112000,268000,274000,147000,235000,1490000,39200,306000,751000,13600000,215000,226000,11100,16100000,131000,139000,140000,247000,111000,131000,49500,73600,516000,153000,809000,147000,12400,243000,3190000,245000,81900,198000,315000,76100,23500,1560000,271000
"ME105986",248000,70700,24500,98200,2800,7790,45400,22400,1850,307000,77600,19600,14900,19100,5640,98300,87000,355000,17000,58900,42000,120000,32000,201000,3410,237000,59500,4490,4090000,113000,397000,110000,11300000,13400000,36700,1240000,17200000,442000,934000,1220000,1430000,8900000,673000,1070000,472000
"ME105987",568000,551000,12900000,20100000,953000,266000,1060000,118000,488000,5630000,12200000,2700000,550000,6390000,228000,8040000,9080000,19200000,20100000,862000,775000,786000,335000,611000,9880000,15500000,7540000,463000,1440000,507000,869000,1180000,13500000,17300000,5360000,926000,12300000,695000,691000,4670000,12500000,12800000,474000,1270000,540000
"ME105988",658000,120000,608000,488000,786000,209000,629000,102000,59700,592000,409000,234000,1670000,98100,43100,549000,503000,936000,1020000,280000,395000,645000,181000,455000,333000,231000,16000,519000,1230000,149000,55100,7420000,167000,127000,1020000,429000,733000,353000,11000,142000,642000,28500,19500,105000,40000
"ME105981",8030000,1540000,3870000,11700000,3550000,1950000,4940000,1850000,1910000,3040000,6530000,1110000,2060000,10700000,2250000,8800000,11700000,13400000,6380000,12600000,5600000,7500000,1390000,2260000,1790000,1.45e+08,1910000,1560000,305000,1350000,6880000,4.6e+07,9290000,19300000,2340000,24500000,14200000,6380000,16400000,3730000,4610000,11400000,2110000,7030000,6300000
"ME105982",127000,230000,310000,369000,323000,297000,160000,118000,149000,233000,115000,334000,392000,1550000,237000,107000,2060000,482000,470000,594000,94500,515000,148000,125000,165000,1790000,232000,338000,542000,237000,174000,187000,1430000,271000,448000,280000,545000,109000,162000,126000,334000,877000,171000,8730000,407000
"ME105989",1560000,5100000,6390000,12100000,4130000,1830000,6650000,1860000,1790000,5470000,7830000,3120000,3200000,4190000,1660000,7340000,8610000,9320000,10300000,4120000,4430000,7610000,1970000,2110000,4420000,8280000,6200000,5630000,4710000,2e+06,2350000,6590000,11600000,10200000,4480000,3390000,10500000,1970000,2100000,6390000,3400000,7510000,3400000,4610000,2310000
"ME105990",713000,1250000,10500000,1650000,799000,944000,10200000,144000,160000,8300000,8390000,1430000,2450000,880000,575000,1940000,11500000,16200000,12300000,7350000,6880000,1290000,241000,469000,10900000,1390000,1460000,2360000,9150000,642000,874000,773000,1.3e+07,7920000,7070000,3400000,12500000,7560,706000,1510000,982000,1.9e+07,1200000,1020000,1e+06
"ME105991",3.07e+08,2.97e+08,2.9e+08,3.15e+08,2.88e+08,2.97e+08,3.13e+08,2.75e+08,2.75e+08,3.05e+08,3.15e+08,2.82e+08,2.83e+08,2.92e+08,2.89e+08,2.72e+08,3.14e+08,3.09e+08,3.25e+08,2.84e+08,3.07e+08,3e+08,3.02e+08,2.7e+08,3.06e+08,2.93e+08,2.97e+08,3.02e+08,2.85e+08,2.71e+08,2.76e+08,3.11e+08,2.87e+08,3.15e+08,3.22e+08,3.12e+08,3.01e+08,2.95e+08,3.12e+08,3.05e+08,2.85e+08,3.07e+08,2.62e+08,2.69e+08,2.96e+08
"ME105992",218000,6330000,7910000,765000,137000,197000,314000,97300,183000,321000,97000,103000,342000,9570000,81600,422000,336000,262000,585000,247000,329000,260000,63100,27100,444000,122000,188000,83500,131000,96500,269000,379000,187000,97200,266000,617000,363000,34800,232000,281000,258000,162000,30800,394000,123000
"ME105903",992000,10700000,14200000,16300000,844000,606000,6310000,7770000,1010000,26700000,10600000,783000,15900000,6390000,11600000,4480000,13100000,25600000,9360000,4840000,692000,14400000,9410000,706000,11100000,4550000,12900000,2790000,13400000,9390000,23600000,1050000,46100000,1.33e+08,7220000,7550000,79500000,42200000,14100000,73500000,6930000,28700000,8840000,9270000,22500000
"ME105994",14900000,546000,12800,652000,1400000,9130,35100,3980,3910,3790000,37200,1500,22700,527000,61000,32400000,531000,2320000,1930000,96200,4620,296000,35000,10400,239000,1.2e+07,41400,34100,9320000,178000,4670000,2290000,6020,1400000,30000,203000,32100,194000,8030000,22800,124000,1050000,66500,2370000,316000
"ME105995",12100000,546000,29500,297000,1400000,9130,35100,9920,3910,1.8e+07,37200,6040,22700,527000,61000,15600000,531000,2320000,1930000,96200,1710,296000,14200,10400,239000,3620000,41400,34100,2590000,178000,2950000,2290000,20700,1400000,30000,203000,32100,194000,6560000,22800,124000,1050000,66500,2370000,316000
"ME105996",179000,15500,183000,3160000,32700,73000,12400,1590,4630,1670000,3310,4040,182000,2540000,67000,7820000,3620000,889000,2750000,2420,NA,2700000,18400,531000,296000,2600000,495000,241000,2140000,17300,63600,2730000,6920,63000,3510,383000,12800,36000,206000,83000,392000,14600,9610,19100000,9410
"ME105904",11100000,16400000,34200000,35700000,9250000,16600000,17600000,1660000,18500000,41700000,16500000,9590000,14300000,14100000,15300000,46600000,24300000,60400000,35500000,12600000,13600000,2e+07,908000,5980000,21900000,37900000,14900000,8770000,17100000,3520000,4130000,9630000,13300000,4.9e+07,8820000,9720000,43200000,969000,4630000,18400000,13700000,19100000,6870000,27600000,2660000
